Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,1.880000,1.983000,1.874000,1.981000,1.981000,322723
2020-02-19,1.969000,1.978000,1.945000,1.955000,1.955000,269977
2020-02-20,1.967000,2.025000,1.907000,1.920000,1.920000,266245
2020-02-21,1.915000,1.925000,1.861000,1.905000,1.905000,146813
2020-02-23,null,null,null,null,null,null
2020-02-24,1.884000,1.884000,1.824000,1.827000,1.827000,75204
2020-02-25,1.836000,1.862000,1.819000,1.847000,1.847000,70528
2020-02-26,1.848000,1.880000,1.810000,1.821000,1.821000,163415
2020-02-27,1.828000,1.831000,1.719000,1.752000,1.752000,276100
2020-02-28,1.748000,1.750000,1.642000,1.684000,1.684000,218418
2020-03-01,null,null,null,null,null,null
2020-03-02,1.695000,1.765000,1.680000,1.756000,1.756000,197987
2020-03-03,1.763000,1.839000,1.756000,1.800000,1.800000,207501
2020-03-04,1.805000,1.845000,1.785000,1.827000,1.827000,138206
2020-03-05,1.829000,1.847000,1.756000,1.772000,1.772000,152639
2020-03-06,1.767000,1.767000,1.705000,1.708000,1.708000,213508
2020-03-08,null,null,null,null,null,null
2020-03-09,1.678000,1.830000,1.610000,1.778000,1.778000,291353
2020-03-10,1.835000,1.955000,1.794000,1.936000,1.936000,350204
2020-03-11,1.938000,1.998000,1.860000,1.878000,1.878000,318547
2020-03-12,1.883000,1.883000,1.750000,1.841000,1.841000,280154
2020-03-13,1.810000,1.951000,1.795000,1.869000,1.869000,222420
2020-03-15,null,null,null,null,null,null
2020-03-16,1.854000,1.854000,1.778000,1.815000,1.815000,167169
2020-03-17,1.797000,1.820000,1.711000,1.729000,1.729000,163792
2020-03-18,1.721000,1.728000,1.555000,1.604000,1.604000,216851
2020-03-19,1.632000,1.683000,1.602000,1.654000,1.654000,189477
2020-03-20,1.647000,1.700000,1.574000,1.604000,1.604000,160481
2020-03-22,null,null,null,null,null,null
2020-03-23,1.533000,1.628000,1.519000,1.602000,1.602000,138581
2020-03-24,1.590000,1.687000,1.583000,1.653000,1.653000,92341
2020-03-25,1.673000,1.716000,1.638000,1.659000,1.659000,42555
2020-03-26,1.657000,1.680000,1.612000,1.637000,1.637000,48026
2020-03-27,1.640000,1.650000,1.597000,1.634000,1.634000,114350
2020-03-29,null,null,null,null,null,null
2020-03-30,1.630000,1.708000,1.613000,1.690000,1.690000,102306
2020-03-31,1.702000,1.731000,1.636000,1.640000,1.640000,142553
2020-04-01,1.643000,1.679000,1.580000,1.587000,1.587000,143668
2020-04-02,1.591000,1.624000,1.521000,1.552000,1.552000,165320
2020-04-03,1.551000,1.659000,1.530000,1.621000,1.621000,155164
2020-04-05,null,null,null,null,null,null
2020-04-06,1.650000,1.755000,1.630000,1.731000,1.731000,187962
2020-04-07,1.759000,1.912000,1.747000,1.852000,1.852000,261927
2020-04-08,1.905000,1.918000,1.771000,1.783000,1.783000,227400
2020-04-09,1.791000,1.825000,1.721000,1.733000,1.733000,202175
2020-04-12,null,null,null,null,null,null
2020-04-13,1.752000,1.813000,1.698000,1.724000,1.724000,196125
2020-04-14,1.725000,1.737000,1.633000,1.650000,1.650000,198543
2020-04-15,1.639000,1.666000,1.586000,1.598000,1.598000,152700
2020-04-16,1.591000,1.719000,1.555000,1.686000,1.686000,235589
2020-04-17,1.689000,1.806000,1.661000,1.753000,1.753000,196982
2020-04-19,null,null,null,null,null,null
2020-04-20,1.774000,1.970000,1.701000,1.924000,1.924000,229817
2020-04-21,1.943000,1.974000,1.779000,1.821000,1.821000,283417
2020-04-22,1.836000,1.952000,1.774000,1.939000,1.939000,162988
2020-04-23,1.910000,1.953000,1.806000,1.815000,1.815000,93520
2020-04-24,1.818000,1.839000,1.702000,1.746000,1.746000,77810
2020-04-26,null,null,null,null,null,null
2020-04-27,1.701000,1.850000,1.593000,1.819000,1.819000,67072
2020-04-28,1.831000,1.923000,1.702000,1.794000,1.794000,157779
2020-04-29,1.949000,1.973000,1.860000,1.869000,1.869000,159446
2020-04-30,1.878000,1.953000,1.825000,1.949000,1.949000,169439
2020-05-01,1.936000,2.016000,1.872000,1.890000,1.890000,181684
2020-05-03,null,null,null,null,null,null
2020-05-04,1.961000,2.006000,1.935000,1.993000,1.993000,187907
2020-05-05,1.991000,2.162000,1.981000,2.134000,2.134000,307829
2020-05-06,2.087000,2.111000,1.929000,1.944000,1.944000,265466
2020-05-07,1.956000,1.989000,1.886000,1.894000,1.894000,228869
2020-05-08,1.901000,1.927000,1.811000,1.823000,1.823000,188400
2020-05-10,null,null,null,null,null,null
2020-05-11,1.838000,1.890000,1.803000,1.826000,1.826000,224967
2020-05-12,1.847000,1.849000,1.685000,1.720000,1.720000,228490
2020-05-13,1.695000,1.741000,1.595000,1.616000,1.616000,254680
2020-05-14,1.643000,1.715000,1.610000,1.681000,1.681000,206529
2020-05-15,1.675000,1.732000,1.634000,1.646000,1.646000,169709
2020-05-17,null,null,null,null,null,null
2020-05-18,1.725000,1.851000,1.702000,1.783000,1.783000,224943
2020-05-19,1.769000,1.857000,1.763000,1.830000,1.830000,241438
2020-05-20,1.804000,1.889000,1.743000,1.771000,1.771000,158342
2020-05-21,1.778000,1.785000,1.692000,1.710000,1.710000,99424
2020-05-22,1.726000,1.760000,1.680000,1.731000,1.731000,53714
2020-05-24,null,null,null,null,null,null
2020-05-26,1.746000,1.809000,1.692000,1.793000,1.793000,44873
2020-05-27,1.774000,1.815000,1.711000,1.722000,1.722000,161456
2020-05-28,1.878000,1.896000,1.811000,1.827000,1.827000,160769
2020-05-29,1.819000,1.865000,1.763000,1.849000,1.849000,221374
2020-05-31,null,null,null,null,null,null
2020-06-01,1.830000,1.848000,1.742000,1.774000,1.774000,205239
2020-06-02,1.780000,1.801000,1.758000,1.777000,1.777000,142957
2020-06-03,1.774000,1.861000,1.771000,1.821000,1.821000,200601
2020-06-04,1.809000,1.854000,1.795000,1.822000,1.822000,114332
2020-06-05,1.821000,1.864000,1.777000,1.782000,1.782000,207229
2020-06-07,null,null,null,null,null,null
2020-06-08,1.810000,1.816000,1.750000,1.789000,1.789000,206086
2020-06-09,1.809000,1.829000,1.756000,1.767000,1.767000,207732
2020-06-10,1.763000,1.808000,1.674000,1.780000,1.780000,203929
2020-06-11,1.787000,1.833000,1.766000,1.813000,1.813000,213619
2020-06-12,1.817000,1.822000,1.727000,1.731000,1.731000,148103
2020-06-14,null,null,null,null,null,null
2020-06-15,1.753000,1.761000,1.661000,1.669000,1.669000,191894
2020-06-16,1.673000,1.685000,1.597000,1.614000,1.614000,167095
2020-06-17,1.613000,1.648000,1.602000,1.638000,1.638000,150270
2020-06-18,1.638000,1.661000,1.611000,1.638000,1.638000,124793
2020-06-19,1.637000,1.684000,1.630000,1.669000,1.669000,123844
2020-06-21,null,null,null,null,null,null
2020-06-22,1.671000,1.712000,1.643000,1.664000,1.664000,121433
2020-06-23,1.660000,1.663000,1.614000,1.637000,1.637000,85194
2020-06-24,1.627000,1.656000,1.585000,1.597000,1.597000,43229
2020-06-25,1.595000,1.598000,1.440000,1.482000,1.482000,62675
2020-06-26,1.441000,1.567000,1.432000,1.495000,1.495000,117328
2020-06-28,null,null,null,null,null,null
2020-06-29,1.567000,1.753000,1.558000,1.709000,1.709000,273247
2020-06-30,1.697000,1.784000,1.688000,1.751000,1.751000,186911
2020-07-01,1.754000,1.758000,1.655000,1.671000,1.671000,173543
2020-07-02,1.693000,1.738000,1.672000,1.734000,1.734000,142222
2020-07-05,null,null,null,null,null,null
2020-07-06,1.728000,1.864000,1.714000,1.830000,1.830000,249486
2020-07-07,1.829000,1.924000,1.829000,1.876000,1.876000,203760
