Date,CL=F,CL=F_Vol,USO,USO_Vol
2/12/2021,59.470,380445,39.940,5777500
2/11/2021,58.240,380445,38.970,3731000
2/10/2021,58.680,457535,39.280,5053600
2/9/2021,58.360,514698,39.170,4904300
2/8/2021,57.970,399724,38.940,4216200
2/5/2021,56.850,381404,38.190,4378700
2/4/2021,56.230,381404,37.810,5033700
2/3/2021,55.690,448693,37.440,6804100
2/2/2021,54.760,463718,36.820,6274700
2/1/2021,53.550,416067,36.120,6051400
1/29/2021,52.200,411406,35.180,3915400
1/28/2021,52.340,411406,35.250,5409000
1/27/2021,52.850,442376,35.500,4918800
1/26/2021,52.610,314538,35.450,2628100
1/25/2021,52.770,349076,35.590,4134500
1/22/2021,52.270,352397,35.230,4672900
1/21/2021,53.130,352397,35.760,3013200
1/20/2021,53.240,400301,35.790,3222600
1/19/2021,52.980,125964,35.750,3804300
1/15/2021,52.360,390087,35.340,5491300
1/14/2021,53.570,390087,36.240,5175000
1/13/2021,52.910,429898,35.800,4457000
1/12/2021,53.210,400200,35.900,4185800
1/11/2021,52.250,394822,35.260,5113100
1/8/2021,52.240,499416,35.430,7548500
1/7/2021,50.830,369292,34.530,4103100
1/6/2021,50.630,509365,34.110,7461100
1/5/2021,49.930,643191,33.940,13616800
1/4/2021,47.620,528525,32.380,14340200
12/31/2020,48.520,266957,33.010,4424600
12/30/2020,48.400,266957,32.910,4840000
12/29/2020,48.000,213778,32.780,3631000
12/28/2020,47.620,238462,32.590,4917500
12/23/2020,48.120,344306,32.750,5077500
12/22/2020,47.020,295737,32.090,3749600
12/21/2020,47.740,478098,32.640,6144300
12/18/2020,49.100,96536,33.480,4759000
12/17/2020,48.360,96536,33.160,4534000
12/16/2020,47.820,275331,32.740,4349300
12/15/2020,47.620,311169,32.540,3509400
12/14/2020,46.990,403543,32.170,4877200
12/11/2020,46.570,447529,31.940,3394000
12/10/2020,46.780,447529,32.110,7572000
12/9/2020,45.520,434976,31.340,7632800
12/8/2020,45.600,332641,31.410,3786000
12/7/2020,45.760,348871,31.400,4785400
12/4/2020,46.260,350768,31.560,6930200
12/3/2020,45.640,350768,31.250,5559700
12/2/2020,45.280,368854,30.970,7064300
12/1/2020,44.550,314919,30.620,4543100
11/30/2020,45.340,370755,30.970,6778500
11/25/2020,45.710,417182,31.370,5865600
11/24/2020,44.910,418527,30.800,9091700
11/23/2020,43.060,300717,29.520,4398000
11/20/2020,42.150,88144,29.270,4907100
11/19/2020,41.740,88144,29.090,2934300
11/18/2020,41.820,107013,29.000,4112100
11/17/2020,41.430,243677,28.870,3613700
11/16/2020,41.340,378785,28.810,4576600
11/13/2020,40.130,401031,28.130,4367600
11/12/2020,41.120,401031,28.660,6070900
11/11/2020,41.450,443772,29.040,6376600
11/10/2020,41.360,457045,28.910,6602400
